AGE,INDUS,LSTAT,NOX,RM,MEDV
65.2,2.31,4.98,0.538,6.575,24.0
78.9,7.07,9.14,0.469,6.421,21.6
61.1,7.07,4.03,0.469,7.185,34.7
45.8,2.18,2.94,0.458,6.998,33.4
54.2,2.18,5.33,0.458,7.147,36.2
58.7,2.18,5.21,0.458,6.43,28.7
66.6,7.87,12.43,0.524,6.012,22.9
96.1,7.87,19.15,0.524,6.172,27.1
100.0,7.87,29.93,0.524,5.631,16.5
85.9,7.87,17.1,0.524,6.004,18.9
94.3,7.87,20.45,0.524,6.377,15.0
82.9,7.87,13.27,0.524,6.009,18.9
39.0,7.87,15.71,0.524,5.889,21.7
61.8,8.14,8.26,0.538,5.949,20.4
84.5,8.14,10.26,0.538,6.096,18.2
56.5,8.14,8.47,0.538,5.834,19.9
29.3,8.14,6.58,0.538,5.935,23.1
81.7,8.14,14.67,0.538,5.99,17.5
69.5,8.14,11.28,0.538,5.727,18.2
98.1,8.14,21.02,0.538,5.57,13.6
89.2,8.14,13.83,0.538,5.965,19.6
91.7,8.14,18.72,0.538,6.142,15.2
100.0,8.14,19.88,0.538,5.813,14.5
94.1,8.14,16.3,0.538,5.924,15.6
90.3,8.14,14.81,0.538,5.813,16.6
94.4,8.14,12.8,0.538,6.495,18.4
87.3,8.14,11.98,0.538,6.674,21.0
94.1,8.14,22.6,0.538,5.713,12.7
100.0,8.14,13.04,0.538,6.072,14.5
95.0,8.14,18.35,0.538,5.701,13.1
68.2,5.96,9.68,0.499,5.933,18.9
61.4,5.96,11.41,0.499,5.841,20.0
41.5,5.96,8.77,0.499,5.85,21.0
30.2,5.96,10.13,0.499,5.966,24.7
2.9,6.91,4.84,0.448,6.77,26.6
6.6,6.91,5.81,0.448,6.169,25.3
6.5,6.91,7.44,0.448,6.211,24.7
40.0,6.91,9.55,0.448,6.069,21.2
33.8,6.91,10.21,0.448,5.682,19.3
33.3,6.91,14.15,0.448,5.786,20.0
85.5,6.91,18.8,0.448,6.03,16.6
95.3,6.91,30.81,0.448,5.399,14.4
62.0,6.91,16.2,0.448,5.602,19.4
45.7,5.64,13.45,0.439,5.963,19.7
63.0,5.64,9.43,0.439,6.115,20.5
21.1,5.64,5.28,0.439,6.511,25.0
21.4,5.64,8.43,0.439,5.998,23.4
29.2,5.13,6.86,0.453,6.145,23.3
47.2,5.13,9.22,0.453,5.927,19.6
66.2,5.13,13.15,0.453,5.741,18.7
93.4,5.13,14.44,0.453,5.966,16.0
67.8,5.13,6.73,0.453,6.456,22.2
43.4,5.13,9.5,0.453,6.762,25.0
59.5,1.38,8.05,0.4161,7.104,33.0
21.4,6.07,8.1,0.409,5.878,22.0
36.8,6.07,13.09,0.409,5.594,17.4
33.0,6.07,8.79,0.409,5.885,20.9
6.6,10.81,6.72,0.413,6.417,24.2
17.5,10.81,9.88,0.413,5.961,21.7
7.8,10.81,5.52,0.413,6.065,22.8
6.2,10.81,7.54,0.413,6.245,23.4
6.0,12.83,6.78,0.437,6.273,24.1
45.0,12.83,8.94,0.437,6.286,21.4
74.5,12.83,11.97,0.437,6.279,20.0
45.8,12.83,10.27,0.437,6.14,20.8
53.7,12.83,12.34,0.437,6.232,21.2
36.6,12.83,9.1,0.437,5.874,20.3
33.5,4.86,5.29,0.426,6.727,28.0
70.4,4.86,7.22,0.426,6.619,23.9
32.2,4.86,6.72,0.426,6.302,24.8
46.7,4.86,7.51,0.426,6.167,22.9
48.0,4.49,9.62,0.449,6.389,23.9
56.1,4.49,6.53,0.449,6.63,26.6
45.1,4.49,12.86,0.449,6.015,22.5
56.8,4.49,8.44,0.449,6.121,22.2
86.3,3.41,5.5,0.489,7.007,23.6
63.1,3.41,5.7,0.489,7.079,28.7
66.1,3.41,8.81,0.489,6.417,22.6
73.9,3.41,8.2,0.489,6.405,22.0
53.6,15.04,8.16,0.464,6.442,22.9
28.9,15.04,6.21,0.464,6.211,25.0
77.3,15.04,10.59,0.464,6.249,20.6
57.8,2.89,6.65,0.445,6.625,28.4
69.6,2.89,11.34,0.445,6.163,21.4
62.5,2.89,6.19,0.445,7.416,33.2
79.9,8.56,9.42,0.52,6.727,27.5
71.3,8.56,7.67,0.52,6.781,26.5
87.4,8.56,13.44,0.52,6.137,19.3
90.0,8.56,12.33,0.52,6.167,20.1
96.7,8.56,16.47,0.52,5.851,19.5
91.9,8.56,18.66,0.52,5.836,19.5
85.2,8.56,14.09,0.52,6.127,20.4
97.1,8.56,12.27,0.52,6.474,19.8
91.2,8.56,15.55,0.52,6.229,19.4
54.4,8.56,13.0,0.52,6.195,21.7
81.6,10.01,10.16,0.547,6.715,22.8
92.9,10.01,16.21,0.547,5.913,18.8
95.4,10.01,17.09,0.547,6.092,18.7
84.2,10.01,10.45,0.547,6.254,18.5
88.2,10.01,15.76,0.547,5.928,18.3
72.5,10.01,12.04,0.547,6.176,21.2
82.6,10.01,10.3,0.547,6.021,19.2
65.2,10.01,13.61,0.547,5.731,19.3
69.7,25.65,14.37,0.581,5.87,22.0
84.1,25.65,14.27,0.581,6.004,20.3
92.9,25.65,17.93,0.581,5.961,20.5
97.0,25.65,25.41,0.581,5.856,17.3
95.8,25.65,17.58,0.581,5.879,18.8
88.4,25.65,14.81,0.581,5.986,21.4
95.6,25.65,27.26,0.581,5.613,15.7
96.0,21.89,17.19,0.624,5.693,16.2
98.8,21.89,15.39,0.624,6.431,18.0
94.7,21.89,18.34,0.624,5.637,14.3
98.9,21.89,12.6,0.624,6.458,19.2
97.7,21.89,12.26,0.624,6.326,19.6
97.9,21.89,11.12,0.624,6.372,23.0
95.4,21.89,15.03,0.624,5.822,18.4
98.2,21.89,16.96,0.624,6.335,18.1
93.5,21.89,16.9,0.624,5.942,17.4
98.4,21.89,14.59,0.624,6.454,17.1
98.2,21.89,21.32,0.624,5.857,13.3
97.9,21.89,18.46,0.624,6.151,17.8
93.6,21.89,24.16,0.624,6.174,14.0
100.0,19.58,26.82,0.871,5.403,13.4
100.0,19.58,26.42,0.871,5.468,15.6
97.8,19.58,29.29,0.871,4.903,11.8
95.7,19.58,29.53,0.871,4.926,14.6
93.8,19.58,28.32,0.871,5.186,17.8
94.9,19.58,21.45,0.871,5.597,15.4
97.3,19.58,14.1,0.871,6.122,21.5
100.0,19.58,6.43,0.605,6.066,24.3
100.0,19.58,7.39,0.871,6.51,23.3
91.8,19.58,11.64,0.605,5.854,22.7
97.3,19.58,12.03,0.605,5.88,19.1
88.5,4.05,14.69,0.51,5.572,23.1
84.1,4.05,9.04,0.51,6.416,23.6
68.7,4.05,9.64,0.51,5.859,22.6
33.1,4.05,5.33,0.51,6.546,29.4
47.2,4.05,10.11,0.51,6.02,23.2
73.4,4.05,6.29,0.51,6.315,24.6
74.4,4.05,6.92,0.51,6.86,29.9
62.2,2.46,9.45,0.488,6.144,36.2
95.6,2.46,5.68,0.488,6.563,32.5
89.8,2.46,13.98,0.488,5.604,26.4
68.8,2.46,13.15,0.488,6.153,29.6
22.3,10.59,10.87,0.489,5.891,22.6
52.5,10.59,10.97,0.489,6.326,24.4
72.7,10.59,18.06,0.489,5.783,22.5
59.1,10.59,14.66,0.489,6.064,24.4
100.0,10.59,23.09,0.489,5.344,20.0
92.1,10.59,17.27,0.489,5.96,21.7
88.6,10.59,23.98,0.489,5.404,19.3
53.8,10.59,16.03,0.489,5.807,22.4
32.3,10.59,9.38,0.489,6.375,28.1
9.8,10.59,29.55,0.489,5.412,23.7
42.4,10.59,9.47,0.489,6.182,25.0
56.0,13.89,13.51,0.55,5.888,23.3
85.1,13.89,9.69,0.55,6.642,28.7
93.8,13.89,17.92,0.55,5.951,21.5
92.4,13.89,10.5,0.55,6.373,23.0
88.5,6.2,9.71,0.507,6.951,26.7
91.3,6.2,21.46,0.507,6.164,21.7
77.7,6.2,9.93,0.507,6.879,27.5
80.8,6.2,7.6,0.507,6.618,30.1
79.9,6.2,6.36,0.504,7.163,31.6
21.4,6.2,3.76,0.504,6.552,31.5
68.1,6.2,11.65,0.504,5.981,24.3
76.9,6.2,5.25,0.504,7.412,31.7
66.5,6.2,8.05,0.507,6.726,29.0
61.5,6.2,10.88,0.507,6.086,24.0
76.5,6.2,9.54,0.507,6.631,25.1
71.6,6.2,4.73,0.507,7.358,31.5
18.5,4.93,6.36,0.428,6.481,23.7
42.2,4.93,7.37,0.428,6.606,23.3
54.3,4.93,11.38,0.428,6.897,22.0
65.1,4.93,12.4,0.428,6.095,20.1
52.9,4.93,11.22,0.428,6.358,22.2
7.8,4.93,5.19,0.428,6.393,23.7
76.5,5.86,12.5,0.431,5.593,17.6
70.2,5.86,18.46,0.431,5.605,18.5
34.9,5.86,9.16,0.431,6.108,24.3
79.2,5.86,10.15,0.431,6.226,20.5
49.1,5.86,9.52,0.431,6.433,24.5
17.5,5.86,6.56,0.431,6.718,26.2
13.0,5.86,5.9,0.431,6.487,24.4
8.9,5.86,3.59,0.431,6.438,24.8
6.8,5.86,3.53,0.431,6.957,29.6
61.5,6.96,13.65,0.464,5.92,20.7
42.1,6.96,13.0,0.464,5.856,21.1
16.3,6.96,6.59,0.464,6.24,25.2
58.7,6.96,7.73,0.464,6.538,24.4
51.8,6.96,6.58,0.464,7.691,35.2
32.2,3.33,4.85,0.4429,6.812,35.1
37.2,3.33,4.59,0.4429,6.968,35.4
18.4,13.92,8.58,0.437,6.127,23.9
42.3,13.92,10.4,0.437,6.009,21.7
31.1,13.92,6.27,0.437,6.678,28.6
51.0,13.92,7.39,0.437,6.549,27.1
58.0,13.92,15.84,0.437,5.79,20.3
82.5,9.9,4.54,0.544,6.635,22.8
76.7,9.9,9.97,0.544,5.972,20.3
37.8,9.9,12.64,0.544,4.973,16.1
52.8,9.9,5.98,0.544,6.122,22.1
90.4,9.9,11.72,0.544,6.023,19.4
82.8,9.9,7.9,0.544,6.266,21.6
87.3,9.9,9.28,0.544,6.567,23.8
77.7,9.9,11.5,0.544,5.705,16.2
83.2,9.9,18.33,0.544,5.914,17.8
71.7,9.9,15.94,0.544,5.782,19.8
67.2,9.9,10.36,0.544,6.382,23.1
58.8,9.9,12.73,0.544,6.113,21.0
52.3,7.38,7.2,0.493,6.426,23.8
54.3,7.38,6.87,0.493,6.376,23.1
49.9,7.38,7.7,0.493,6.041,20.4
74.3,7.38,11.74,0.493,5.708,18.5
40.1,7.38,6.12,0.493,6.415,25.0
14.7,7.38,5.08,0.493,6.431,24.6
28.9,7.38,6.15,0.493,6.312,23.0
43.7,7.38,12.79,0.493,6.083,22.2
25.8,3.24,9.97,0.46,5.868,19.3
17.2,3.24,7.34,0.46,6.333,22.6
32.2,3.24,9.09,0.46,6.144,19.8
38.1,5.19,5.68,0.515,6.316,22.2
38.5,5.19,6.75,0.515,6.31,20.7
34.5,5.19,8.01,0.515,6.037,21.1
46.3,5.19,9.8,0.515,5.869,19.5
59.6,5.19,10.56,0.515,5.895,18.5
37.3,5.19,8.51,0.515,6.059,20.6
45.4,5.19,9.74,0.515,5.985,19.0
58.5,5.19,9.29,0.515,5.968,18.7
59.7,1.89,8.65,0.518,6.54,16.5
48.5,4.39,10.53,0.442,6.014,17.5
52.3,4.39,12.67,0.442,5.898,17.2
97.4,18.1,17.6,0.77,6.212,17.8
