Project Code,Invoice Number,Invoice Date,QTY,UNIT PRICE,TOTAL,"Invoiced?
[Y / N]","Invoice 
Remarks","Reason for 
not Invoicing",Entity,Actual Entity,Consultant Name,SCHOOL,Zone,"Programme 
Name",UOM,"Projected 
Amount",January,February,March,March Hols,April,May,June Hols,July,August,September,Sep Hols,October,November,December,"Payment 
Reference",Payment Date,Paid Amount,"Outstanding
Amount","Service 
Consultant"
VARI17001,INVVARI1702001,16-Feb-17,4.5,$150.00,675,,4.5X$150=$675,,ARTELIER (INSTRUCTOR) PTE LTD,,LINDEN LOKE,JUNYUAN PRI,EAST,Art Club CCA,PER HR,$675.00,$675.00,,,,,,,,,,,,,,5003179999,07.03.17,$675.00,$0.00,
VARI17001,INVVARI1703001,6-Mar-17,18,$150.00,2700,,18 x $150=$2700,,ARTELIER (INSTRUCTOR) PTE LTD,,LINDEN LOKE,JUNYUAN PRI,,Art Club CCA,,"$2,700.00",,"$2,700.00",,,,,,,,,,,,,5003191063,23.03.17,"$2,700.00",$0.00,
VARI17001,INVVARI1705001,8-May-17,17.5,$150.00,2625,,17.5 x 150=2625,,ARTELIER (INSTRUCTOR) PTE LTD,,LINDEN LOKE,JUNYUAN PRI,,Art Club CCA,,"$2,625.00",,,,,,"$2,625.00",,,,,,,,,5003220326,29.05.17,"$2,625.00",$0.00,
VARI17001,INVVARI1706001,14-Jun-17,4.5,$150.00,675,,,,ARTELIER (INSTRUCTOR) PTE LTD,,LINDEN LOKE,JUNYUAN PRI,,Art Club CCA,,$675.00,,,,,,$675.00,,,,,,,,,5003240231,10.07.17,$675.00,$0.00,
VARI17002,BILLED UNDER PASSIONISTA,,48,$85.00,0,,,,ARTELIER (INSTRUCTOR) PTE LTD,,MARTIN LOCK,SEMBAWANG PR,NORTH,Ceramics,PER PAX,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17003,,,,$161.00,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17004,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17005,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17006,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17007,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17008,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17009,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17010,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17011,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17012,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17013,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17014,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17015,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17016,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17017,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17018,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17019,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17020,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17021,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17022,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17023,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17024,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17025,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17026,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17027,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17028,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
VARI17029,,,,,$0.00,,,,ARTELIER (INSTRUCTOR) PTE LTD,,,,,,,$0.00,,,,,,,,,,,,,,,,,,$0.00,
